"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","4","ApiSuite","Тестирование апи метода GetAdminBanner: GET /banner","","","","Успешное получение списка баннеров по фиче",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","","","","Попытка удалить баннер с неверным типом параметра в строке запроса",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода GetAdminBanner: GET /banner","","","","Попытка получить список баннеров пользователя с неверными правами",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","57","ApiSuite","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","","","","Успешное удаление баннера",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода GetUserBanner: GET /user_banner","","","","Попытка получения баннера с передачей не всех параметров запроса",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","4","ApiSuite","Тестирование апи метода GetUserBanner: GET /user_banner","","","","Успешное получение активного баннера из кэша",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода CreateBanner: POST /banner","","","","Попытка создать баннер с неверным телом в запросе",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","6","ApiSuite","Тестирование апи метода DeleteBanner: DELETE /banner","","","","Успешное удаление баннера",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","5","ApiSuite","Тестирование апи метода UpdateBanner: PATCH /banner","","","","Попытка обновить баннер на существующие у другого баннера feature и tag ids",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","","","","Попытка удалить не существующий баннер",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","1","ApiSuite","Тестирование апи метода GetUserBanner: GET /user_banner","","","","Попытка получения баннера с некорректными параметрами запроса",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","","","","Попытка удалить баннер пользователя с неверными правами",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода GetUserBanner: GET /user_banner","","","","Попытка получения несуществующего баннера",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","4","ApiSuite","Тестирование апи метода GetAdminBanner: GET /banner","","","","Успешное получение списка баннеров по тэгу",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","2","ApiSuite","Тестирование апи метода GetUserBanner: GET /user_banner","","","","Успешное получение активного баннера",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода UpdateBanner: PATCH /banner","","","","Попытка обновить баннер с неверным типом параметра в строке запроса",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","3","ApiSuite","Тестирование апи метода GetAdminBanner: GET /banner","","","","Успешное получение смещённого списка баннеров",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","10","ApiSuite","Тестирование апи метода UpdateBanner: PATCH /banner","","","","Успешное обновление баннера",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","33","","ApiSuite","","","","Тестирование апи метода CreateBanner: POST /banner",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","4","ApiSuite","Тестирование апи метода GetAdminBanner: GET /banner","","","","Успешное получение ограниченного списка баннеров по числу",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода DeleteBanner: DELETE /banner","","","","Попытка удалить баннер с неверным типом параметра в строке запроса",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","47","","ApiSuite","","","","Тестирование апи метода GetAdminBanner: GET /banner",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","34","","ApiSuite","","","","Тестирование апи метода DeleteBanner: DELETE /banner",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода GetAdminBanner: GET /banner","","","","Попытка получить список баннеров с неверным типом параметра в строке запроса",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","1","ApiSuite","Тестирование апи метода GetUserBanner: GET /user_banner","","","","Попытка получения неактивного баннера",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","57","","ApiSuite","","","","Тестирование апи метода UpdateBanner: PATCH /banner",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","10","ApiSuite","Тестирование апи метода CreateBanner: POST /banner","","","","Успешное создание баннера",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода GetUserBanner: GET /user_banner","","","","Попытка получения баннера пользователя с неверными правами",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода GetAdminBanner: GET /banner","","","","Попытка получить список баннеров неавторизованным пользователем",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","4","ApiSuite","Тестирование апи метода CreateBanner: POST /banner","","","","Попытка создать баннер с существующими feature и tag ids",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","2","ApiSuite","Тестирование апи метода GetUserBanner: GET /user_banner","","","","Успешное получение активного баннера с указанной версией",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","4","ApiSuite","Тестирование апи метода GetUserBanner: GET /user_banner","","","","Успешное получение активного баннера с обязательным запросом к базе после кэширования",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","9","ApiSuite","Тестирование апи метода UpdateBanner: PATCH /banner","","","","Успешное обновление баннеров с сохранением только трёх последних версий",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода CreateBanner: POST /banner","","","","Попытка создать баннер неавторизованным пользователем",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода DeleteBanner: DELETE /banner","","","","Попытка удалить не существующий баннер",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","11","ApiSuite","Тестирование апи метода UpdateBanner: PATCH /banner","","","","Успешное обновление баннера с одним из полей",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","1","ApiSuite","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","","","","Попытка удалить баннер без параметров запроса",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","191","","ApiSuite","","","","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода CreateBanner: POST /banner","","","","Попытка создать баннер пользователя с неверными правами",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","54","ApiSuite","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","","","","Успешное удаление баннера по фиче",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода GetUserBanner: GET /user_banner","","","","Попытка получения баннера неавторизованным пользователем",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","1","ApiSuite","Тестирование апи метода UpdateBanner: PATCH /banner","","","","Попытка обновить баннер с неверным типом полей в теле запроса",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","57","","ApiSuite","","","","Тестирование апи метода GetUserBanner: GET /user_banner",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","3","ApiSuite","Тестирование апи метода GetAdminBanner: GET /banner","","","","Успешное получение списка баннеров при фильтре запрашивающем несуществующий баннер",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","1","ApiSuite","Тестирование апи метода UpdateBanner: PATCH /banner","","","","Попытка обновить баннер неавторизованным пользователем",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","1","ApiSuite","Тестирование апи метода UpdateBanner: PATCH /banner","","","","Попытка обновить баннер пользователя с неверными правами",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","9","ApiSuite","Тестирование апи метода GetAdminBanner: GET /banner","","","","Успешное получение списка баннеров",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","54","ApiSuite","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","","","","Успешное удаление баннера по тэгу",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода DeleteBanner: DELETE /banner","","","","Попытка удалить баннер пользователя с неверными правами",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","","","","Попытка удалить баннер неавторизованным пользователем",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода DeleteBanner: DELETE /banner","","","","Попытка удалить баннер неавторизованным пользователем",""
